config,method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
BA-localized,GNN-RL,1,100,0.26583333333333337,0.0492231314187412,0.004922313141874119,0.8413749466056819,0.0295198723286395,0.00295198723286395
BA-localized,MCTS,1,100,0.2891666666666666,0.04074821059465884,0.004074821059465885,0.8310823025177436,0.02627721638266166,0.002627721638266166
BA-localized,TIA,1,100,0.3116666666666667,0.048494701887021756,0.004849470188702175,0.810069759341106,0.03402753050491702,0.0034027530504917016
BA-localized,GNN-RL,10,100,0.30020833333333335,0.05179880615848636,0.0051798806158486355,0.823389847923834,0.03192843072097114,0.0031928430720971138
BA-localized,MCTS,10,100,0.31625000000000003,0.03672580458236718,0.0036725804582367185,0.8148820005751041,0.024850232269292664,0.0024850232269292664
BA-localized,TIA,10,100,0.331875,0.043526711945399435,0.004352671194539944,0.7914591981650961,0.04003154205360741,0.0040031542053607415
BA-localized,GNN-RL,20,100,0.29312499999999997,0.04421921009772412,0.004421921009772413,0.8268868330981023,0.028600284056068983,0.0028600284056068985
BA-localized,MCTS,20,100,0.30625,0.03673998351780917,0.003673998351780917,0.8227605722897674,0.021508965309068467,0.0021508965309068465
BA-localized,TIA,20,100,0.33729166666666666,0.0473879343234588,0.00473879343234588,0.7851250961053053,0.04071058451038818,0.004071058451038818
BA-random,GNN-RL,1,100,0.270625,0.05030247053243674,0.005030247053243674,0.8396263815338426,0.028617777836276947,0.0028617777836276947
BA-random,MCTS,1,100,0.2885416666666667,0.03823072771563035,0.003823072771563035,0.8328789748641451,0.023238463229963213,0.002323846322996321
BA-random,TIA,1,100,0.3120833333333334,0.04786954204455643,0.004786954204455643,0.8086175381360985,0.03638588306072478,0.003638588306072478
BA-random,GNN-RL,10,100,0.2933333333333334,0.048383594556649284,0.004838359455664928,0.8277249376363232,0.0292394411167183,0.00292394411167183
BA-random,MCTS,10,100,0.30395833333333333,0.03964852088455927,0.003964852088455927,0.8239459036482951,0.02656396442137737,0.002656396442137737
BA-random,TIA,10,100,0.33708333333333323,0.04452488380420299,0.004452488380420299,0.7870285637181802,0.03918266035077235,0.003918266035077235
BA-random,GNN-RL,20,100,0.288125,0.044199575004241334,0.004419957500424133,0.8294672525238781,0.02742930847246893,0.002742930847246893
BA-random,MCTS,20,100,0.3102083333333333,0.03383669420909791,0.003383669420909791,0.817990122818358,0.021937046008181034,0.0021937046008181035
BA-random,TIA,20,100,0.3354166666666667,0.04578596036632481,0.004578596036632481,0.7850348577059334,0.044947878538698055,0.004494787853869806
WS-localized,GNN-RL,1,100,0.24875,0.0598624000892417,0.00598624000892417,0.8557938397687624,0.032259420184185345,0.0032259420184185344
WS-localized,MCTS,1,100,0.26416666666666666,0.058769204898862164,0.0058769204898862165,0.8455300231459286,0.029682014893985895,0.0029682014893985895
WS-localized,TIA,1,100,0.2839583333333333,0.07142248858027841,0.007142248858027842,0.8421775996286135,0.03528632306631665,0.003528632306631665
WS-localized,GNN-RL,10,100,0.283125,0.05980981141641117,0.005980981141641117,0.8328979047259931,0.035863121375581467,0.0035863121375581467
WS-localized,MCTS,10,100,0.28041666666666665,0.06062607387365054,0.006062607387365054,0.8315380075574579,0.03571674179222298,0.003571674179222298
WS-localized,TIA,10,100,0.34770833333333345,0.0808856681955737,0.00808856681955737,0.8097404693557292,0.042469712214801295,0.00424697122148013
WS-localized,GNN-RL,20,100,0.275625,0.06051393032921337,0.006051393032921337,0.8394184388959854,0.033216707434077015,0.0033216707434077014
WS-localized,MCTS,20,100,0.29416666666666663,0.05982323498812518,0.0059823234988125185,0.8264510942600574,0.03419554633406413,0.0034195546334064133
WS-localized,TIA,20,100,0.354375,0.08470204108455055,0.008470204108455056,0.8069316337922533,0.04445974692413962,0.004445974692413962
WS-random,GNN-RL,1,100,0.29125,0.06102282132302817,0.006102282132302817,0.8297076060514992,0.03877325108268852,0.003877325108268852
WS-random,MCTS,1,100,0.30125,0.057766592133054434,0.005776659213305444,0.825997017784417,0.03202530929790254,0.0032025309297902538
WS-random,TIA,1,100,0.34395833333333337,0.08283680198974903,0.008283680198974904,0.8117264896116407,0.042461615735491,0.004246161573549101
WS-random,GNN-RL,10,100,0.3022916666666667,0.06578155928272503,0.006578155928272503,0.8211545107584195,0.042984731526635005,0.0042984731526635005
WS-random,MCTS,10,100,0.31354166666666666,0.05910024146876785,0.005910024146876785,0.8155347234301644,0.03316320838812978,0.0033163208388129776
WS-random,TIA,10,100,0.3762499999999999,0.08507655865944116,0.008507655865944116,0.7955489938020405,0.04374910066800211,0.004374910066800211
WS-random,GNN-RL,20,100,0.296875,0.05677800031213185,0.005677800031213185,0.824943009359062,0.03925778884424186,0.003925778884424186
WS-random,MCTS,20,100,0.3045833333333333,0.052933068324273656,0.005293306832427366,0.8221263271790129,0.02975573301861306,0.002975573301861306
WS-random,TIA,20,100,0.39666666666666667,0.08887413071929938,0.008887413071929938,0.7827844187178095,0.048962650150329426,0.004896265015032942
