method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,invasion_mean,invasion_std,invasion_sem,success_rate
TD,1,10,0.22105072463768116,0.024817888482742866,0.007848105432152787,0.49408299270440936,0.03312308803051243,0.010474440131468008,0.1048537005163511,0.002581526094217235,0.0008163502296884892,0.0
TD,2,10,0.23221014492753622,0.015795979550641784,0.004995127325347106,0.48474044956253415,0.02785463709413655,0.008808409661488548,0.17800344234079174,0.003737595920921738,0.0011819316083467272,0.0
TD,4,10,0.225,0.018085481638119447,0.0057191314557610545,0.46262035725415745,0.025372203950301573,0.008023395374127456,0.28564543889845095,0.007231865638559007,0.002286916715015448,0.0
TD,6,10,0.22119565217391304,0.011928216385770659,0.003772033220237696,0.47064185060086733,0.031023625590311785,0.0098105318141671,0.3824440619621343,0.011075567670741592,0.0035024020218869267,0.0
TD,8,10,0.22119565217391304,0.00780500717142654,0.0024681599815656137,0.4657058173738868,0.014958574604449017,0.004730316629961118,0.4353528399311532,0.006910536649253132,0.0021853035665708024,0.0
TD,10,10,0.21315217391304345,0.01717639711748096,0.005431653688679058,0.477669758158196,0.04506681812977174,0.014251379218664845,0.4967986230636833,0.011887594503690941,0.0037591874532162273,0.0
TD,12,10,0.21833333333333335,0.015137124402662632,0.004786779033772967,0.4559867481208945,0.03166432173325913,0.010013137724146944,0.5333218588640275,0.0117676207242116,0.0037212484129508787,0.0
TD,14,10,0.22007246376811596,0.014848177968825297,0.004695406148502054,0.4409271772087725,0.028768056609291947,0.009097258274202321,0.5653700516351119,0.0119347499179569,0.00377409930452515,0.0
TD,16,10,0.2177898550724638,0.009329903614147114,0.002950374577054164,0.45974109673766606,0.013827807851605606,0.004372736785823332,0.5945611015490534,0.0061920046903400664,0.0019580838103920215,0.0
TD,18,10,0.21242753623188407,0.02194411210030188,0.006939337546701525,0.47697138795128674,0.042798785464573656,0.013534164315696042,0.6126333907056798,0.01337742528668738,0.004230313313466308,0.0
TD,20,10,0.218731884057971,0.01009960112425957,0.003193774301185748,0.45296823146884196,0.021257567456576806,0.006722233067745519,0.6343545611015491,0.00969103000605814,0.0030645727692179088,0.0
TIA,1,10,0.14753623188405798,0.0019498005865324168,0.0006165810836574664,0.5971781682752593,0.008878709711484616,0.0028076945371747837,0.08478485370051636,0.0005343949981500868,0.00016899053643557418,0.0
TIA,2,10,0.1673550724637681,0.005399523305058064,0.0017074791923143648,0.5097819335042314,0.02031680596400796,0.006424738162595807,0.17012048192771084,0.005206476436641548,0.0016464324123784636,0.0
TIA,4,10,0.1731159420289855,0.00786791025382438,0.002488051682787856,0.4756482530533366,0.015865586352377486,0.005017138928759565,0.27091222030981066,0.00835858187168396,0.0026432156723514583,0.0
TIA,6,10,0.1746739130434783,0.008087829805843091,0.002557596351426157,0.4522156429176212,0.02162617118608861,0.006838795801674511,0.3351807228915663,0.011067058725703295,0.003499711257206306,0.0
TIA,8,10,0.17355072463768115,0.011030213799701653,0.0034880598685677507,0.44375719477857833,0.022666577463349644,0.0071678011544826625,0.37318416523235803,0.009652620667642012,0.003052426669936392,0.0
TIA,10,10,0.18409420289855072,0.012003038630193107,0.0037956940914397725,0.4165594951018468,0.02130012427804652,0.006735690716327664,0.41080895008605856,0.008671966348332083,0.0027423165453062505,0.0
TIA,12,10,0.1777173913043478,0.012226046498376577,0.0038662153713996087,0.4308272476283884,0.02901500741506754,0.009175350975828795,0.4395524956970741,0.009207795120649228,0.002911760480943646,0.0
TIA,14,10,0.1760869565217391,0.006718059626244541,0.0021244369875752242,0.43289964013518667,0.020711287607914363,0.006549484211582978,0.4710843373493976,0.010218883035316624,0.00323149455344554,0.0
TIA,16,10,0.17978260869565216,0.012591609279143202,0.003981816472900341,0.42034706501375635,0.030953510279338077,0.009788359406014309,0.48512908777969016,0.0118048200349795,0.003733011867892378,0.0
