method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,flooded_mean,flooded_std,flooded_sem,success_rate
TD,1,10,0.12412935323383083,0.0012557724195465605,0.00039711010685876814,0.8886849680563236,0.002284023541277195,0.0007222716619879544,0.06984103179364128,0.0003811717164708723,0.00012053708036838748,0.0
TD,2,10,0.126982276119403,0.0011255671302064232,0.00035593557908716053,0.882983614158033,0.002910198965399814,0.0009202857174928962,0.0944511097780444,0.0012179928316884807,0.0003851631521893707,0.0
TD,4,10,0.12587064676616916,0.0015068819896098806,0.0004765179252253405,0.8847369330566188,0.0032462431768191203,0.0010265522277529133,0.11753149370125975,0.001899712160598677,0.00060074173262114,0.0
TD,6,10,0.12505441542288556,0.001469216417910448,0.0004646070256310819,0.8864498518182155,0.0037888766229769964,0.0011981479901974367,0.13058638272345532,0.001754152304332567,0.0005547116644523761,0.0
TD,8,10,0.12136971393034826,0.0010894461448635736,0.0003445131205858643,0.8899160226321016,0.005444343864742302,0.0017216526977749357,0.13680263947210558,0.0027422785530524314,0.0008671846206276571,0.0
TD,10,10,0.12059235074626866,0.0012558927169363638,0.0003971481482336033,0.8915058579198301,0.005477939091333464,0.0017322764412286882,0.14220155968806242,0.002309294621746287,0.0007302630793095271,0.0
TD,12,10,0.1179415422885572,0.0010646186763538547,0.00033666198568318246,0.8943348552866113,0.0034990075734112787,0.0011064833482158456,0.14603329334133175,0.0019194549694316436,0.0006069849569532866,0.0
TD,14,10,0.11731965174129352,0.0018147060275391653,0.0005738604330660006,0.8935148948933124,0.0036240604483698344,0.0011460285394979727,0.14793041391721654,0.0016227974322319788,0.0005131736066925795,0.0
TD,16,10,0.11679881840796018,0.0017169874598075723,0.0005429591086938739,0.8941789872511279,0.005290916128428283,0.001673134587475333,0.14952009598080385,0.001957381493174588,0.0006189783768293025,0.0
TD,18,10,0.11440453980099503,0.002540455711589985,0.0008033626343408172,0.8985651991353233,0.004319149096004425,0.0013658348697231245,0.15204709058188365,0.003174984037333752,0.001004018109265173,0.0
TD,20,10,0.11477767412935325,0.0017659152612075858,0.0005584314380267157,0.8995633785203256,0.003229638202844401,0.00102130127392812,0.153501799640072,0.0014343319854238413,0.0004535755994770771,0.0
TIA,1,10,0.09085820895522388,0.00040957524478605354,0.00012951906467449325,0.9098029396904707,0.000857360796140012,0.0002711212892337736,0.06590431913617276,0.00038301118143737765,0.00012111877026541172,0.0
TIA,2,10,0.09487717661691543,0.0013630482115920646,0.00043103369092500475,0.9059967656649535,0.002706587927524996,0.0008558982538493726,0.08621025794841032,0.0013401353637018444,0.00042378801222359684,0.0
TIA,4,10,0.0972403606965174,0.001149577965518529,0.00036352847189810594,0.901074175656331,0.005341593305925515,0.0016891601181033215,0.10754349130173964,0.0014099573499185632,0.00044586766294376826,0.0
