config,method,n_nodes,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TD,32,100,0.26,0.13415787366993365,0.013415787366993365,0.8072218509125677,0.07641163152586945,0.007641163152586945,1.0
BA-random,Adaptive TD,64,100,0.3378688524590164,0.11834873469779329,0.01183487346977933,0.7442832867538547,0.06260927039370678,0.006260927039370678,1.0
BA-random,Adaptive TD,128,100,0.33967213114754086,0.10041114084130509,0.010041114084130508,0.7224490372687107,0.056150028566742095,0.00561500285667421,1.0
BA-random,Adaptive TD,256,100,0.34274590163934426,0.09998766216552184,0.009998766216552183,0.693776280354272,0.045495075382550466,0.004549507538255047,1.0
BA-random,Adaptive TD,512,100,0.33490759753593424,0.09877479730659958,0.009877479730659958,0.6744198453359536,0.036337905480156675,0.0036337905480156676,1.0
BA-random,Adaptive TD,1024,100,0.36927029804727646,0.09543364128139337,0.009543364128139336,0.6574450199886357,0.03111495741852078,0.0031114957418520777,1.0
BA-random,Adaptive TD,2048,100,0.3663155190133606,0.09352727980091675,0.009352727980091676,0.6493084447051891,0.024916051392754632,0.002491605139275463,1.0
BA-random,Adaptive TD,4096,100,0.36112024665981496,0.10289368446580364,0.010289368446580365,0.6374362392712879,0.019014833614355905,0.0019014833614355905,1.0
BA-random,Adaptive TD,8192,100,0.36118977258126683,0.09103828683676171,0.00910382868367617,0.6304681506049287,0.02056592762959862,0.0020565927629598623,1.0
BA-random,Adaptive TD,16384,100,0.3793016382910375,0.08990426532419106,0.008990426532419106,0.627386840955777,0.016799061791308693,0.0016799061791308693,1.0
BA-random,Adaptive Katz,32,100,0.21806451612903227,0.10283393359209252,0.010283393359209251,0.8357880955849706,0.059128446997124176,0.005912844699712418,1.0
BA-random,Adaptive Katz,64,100,0.2824590163934426,0.0930493593963087,0.00930493593963087,0.7698713416112755,0.05649445522863494,0.005649445522863494,1.0
BA-random,Adaptive Katz,128,100,0.2856557377049181,0.08602555666089887,0.008602555666089886,0.7570120977962902,0.04482742986050043,0.004482742986050043,1.0
BA-random,Adaptive Katz,256,100,0.2883606557377049,0.0825013742525594,0.008250137425255941,0.7407981235629952,0.03770068415866558,0.003770068415866558,1.0
BA-random,Adaptive Katz,512,100,0.29020533880903493,0.08405360740439166,0.008405360740439165,0.7146918152899288,0.033833072178885516,0.0033833072178885517,1.0
BA-random,Adaptive Katz,1024,100,0.3106474820143885,0.07977341850012756,0.007977341850012757,0.7127432957816318,0.029145058264587215,0.0029145058264587213,1.0
BA-random,Adaptive Katz,2048,100,0.3088900308324769,0.0788813267516513,0.00788813267516513,0.7015207901806982,0.028001954528913423,0.002800195452891342,1.0
BA-random,Adaptive Katz,4096,100,0.30082476875642344,0.08435456215030301,0.008435456215030302,0.693700717176575,0.02863575796725403,0.0028635757967254032,1.0
BA-random,Adaptive Katz,8192,100,0.29865733007837597,0.07653073867223868,0.007653073867223868,0.6946190698895347,0.026290158439711334,0.0026290158439711336,1.0
BA-random,Adaptive Katz,16384,100,0.3111827818824285,0.07573398065468993,0.007573398065468993,0.6972811252047402,0.022917034527505098,0.00229170345275051,1.0
BA-random,Adaptive TIA,32,100,0.2219354838709678,0.10173111403575238,0.010173111403575238,0.8260401213369962,0.06281063970841468,0.006281063970841468,1.0
BA-random,Adaptive TIA,64,100,0.25803278688524595,0.08983905702809249,0.008983905702809249,0.7845522432812666,0.054556986214012955,0.005455698621401295,1.0
BA-random,Adaptive TIA,128,100,0.25713114754098365,0.07413076869995497,0.007413076869995497,0.7590289832965561,0.04645366382038352,0.004645366382038352,1.0
BA-random,Adaptive TIA,256,100,0.24512295081967214,0.07627289220242936,0.007627289220242936,0.7489357434490462,0.038053374104645384,0.0038053374104645384,1.0
BA-random,Adaptive TIA,512,100,0.24601642710472282,0.07857514034180724,0.007857514034180724,0.7174620460395735,0.03717313435652487,0.003717313435652487,1.0
BA-random,Adaptive TIA,1024,100,0.26587872559095577,0.07517358609160285,0.007517358609160285,0.7098040151863105,0.034210761491094054,0.0034210761491094053,1.0
BA-random,Adaptive TIA,2048,100,0.2589516957862282,0.07381227706393237,0.007381227706393237,0.7080367533507993,0.030245340359592216,0.0030245340359592214,1.0
BA-random,Adaptive TIA,4096,100,0.25232785200411095,0.07905547029317081,0.00790554702931708,0.6954516239716239,0.03256921997542919,0.0032569219975429192,1.0
BA-random,Adaptive TIA,8192,100,0.2512450212000514,0.07298768515114554,0.007298768515114554,0.6931104292235192,0.02861520738965381,0.002861520738965381,1.0
