lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
1,WS-random,Adaptive TIA,0.04,0.04,500,0.45104444444444447,0.0451731975598117,0.0020202068100953316,0.7570230433764985,0.04343694080553142,0.0019425590475160544
1,WS-random,Adaptive TIA,0.05,0.05,500,0.44963333333333333,0.04619391627946875,0.002065854738956526,0.7581611345601476,0.04375550458917271,0.001956805653023884
1,WS-random,GNN-RL,0.01,0.01,500,0.38959777777777777,0.0342888772953102,0.0015334452100892548,0.7330667045395219,0.0417851050893249,0.0018686867085340579
1,WS-random,GNN-RL,0.02,0.02,500,0.3880577777777778,0.03323735248180877,0.001486419590828915,0.7334114791842528,0.041276305906951236,0.0018459325173603813
1,WS-random,GNN-RL,0.03,0.03,500,0.3884288888888889,0.03185481346265805,0.0014245905662615772,0.7339592144208743,0.03921457654043409,0.001753729177065583
1,WS-random,GNN-RL,0.04,0.04,500,0.38916222222222224,0.03108303264674344,0.0013900754788992707,0.7327849943255269,0.03886129823208382,0.0017379300908166363
1,WS-random,GNN-RL,0.05,0.05,500,0.3878377777777778,0.03195195243169861,0.001428934753022356,0.7348073422639911,0.038847390070023045,0.0017373080989004368
1,WS-localized,Adaptive TD,0.01,0.01,500,0.5835044444444445,0.09736459596869977,0.004354277103756294,0.6875101066047273,0.05138671293198611,0.0022980836651237692
1,WS-localized,Adaptive TD,0.02,0.02,500,0.5745644444444443,0.09216274076428708,0.004121643066832737,0.6917761122175966,0.04829520902985752,0.0021598274075664615
1,WS-localized,Adaptive TD,0.03,0.03,500,0.5780311111111112,0.09674956864037569,0.0043267722454732385,0.6898228835445139,0.050525496246357694,0.002259568884075325
1,WS-localized,Adaptive TD,0.04,0.04,500,0.5774288888888889,0.08638009175644497,0.003863035141401603,0.6897688318501364,0.04490410833050826,0.002008172773920621
1,WS-localized,Adaptive TD,0.05,0.05,500,0.5816288888888889,0.08833911122962188,0.0039506451556269905,0.6879901636014624,0.04599647270304147,0.002057024793784284
1,WS-localized,Adaptive Katz,0.01,0.01,500,0.5566933333333334,0.0898016705280566,0.004016052795875479,0.7035855377451607,0.04747735228081527,0.002123251741832152
1,WS-localized,Adaptive Katz,0.02,0.02,500,0.5501577777777777,0.0890466228000746,0.003982286034954989,0.7071102512568449,0.045619240485497446,0.002040154456149656
1,WS-localized,Adaptive Katz,0.03,0.03,500,0.5531622222222222,0.08878350895142856,0.0039705192259271065,0.7049738330513186,0.04560607272964753,0.002039565576205825
1,WS-localized,Adaptive Katz,0.04,0.04,500,0.5538666666666667,0.08256889080274157,0.0036925930532337465,0.7051003386405962,0.04297457720757284,0.001921881518808919
1,WS-localized,Adaptive Katz,0.05,0.05,500,0.5564488888888889,0.08344130474933625,0.0037316085910158382,0.7034058032177205,0.0433564638290204,0.0019389600077140085
1,WS-localized,Adaptive TIA,0.01,0.01,500,0.20856,0.04490137868047492,0.0020080507002600344,0.9038775502650185,0.02051324938769298,0.0009173804014057488
1,WS-localized,Adaptive TIA,0.02,0.02,500,0.2046488888888889,0.04268607984279745,0.0019089795244295728,0.9056098089780273,0.019460602397193213,0.0008703045968643877
